artist,couplet,song,url
Drake,"But these niggas right here ain't tryna hear that<br>Cause I'm on set, make it work, break even on 9 to 5's",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Cigarettes and lotto tickets, tryna keep that grind alive<br>All my uncles, they hit the casino when they get they check",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,Rest In Peace to SKUMMY this reality not funny rap!<br>You think it's funny till these youngings suck a bunny,am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Pull the jack rabbit out and get to screamin' where the money at?!<br>It ain't as easy as it looks, we go through some shit",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"You cut us a check, then we go through some hits<br>Then you show us respect, then we'll say you legit",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"And this is the life that I lead from AM to PM<br>I'm tryna get that cash, then watch how tall it grows",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"Soon as we get the ass, we start callin' 'em hos<br>The concept you don't grasp, I'm guessin' you too old",am2pm,http://www.azlyrics.com/lyrics/drake/am2pm.html
Drake,"And this is the life that I lead from AM to PMThis the record that my backpack underground fans get to get to skippin<br>
Back back, Southern town fans get to tippin<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Chasin fat stacks, runnin down grands and submission<br>
I don't back track, every single sound for me different<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"I don't own no ice, just got clean rap<br>
Don't ever two step, I just rock, lean, snap<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,We could take it out to Houston where the rides all glossed up<br>
Anybody I'm standin beside's all bossed up<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Burgular ? they say I'm servin them rhymers<br>
And me and Nickel F go together like burgers and diners, yes<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"I'm like a waiter and you something like a hater<br>
With trays in both hands, place an order I can cater uh<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,I got the diamonds in my teeth flow<br>
Memphis is the reason that my rhyming and my *chopped voice* speech slow<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Peep though, I only got pity for you lames<br>
Sitting pretty in the game, in the city that I claim",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Yo, the city is mine (which one?)<br>
T-O-R-O-N-T-O<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,D-R-A-K-E that's me<br>
You know how the story goes<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Pull up, range rove, yo chick, wanna roll<br>
And I play myself in the stereo<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"And I make 'em wanna <br>
Shake shake it, drop it drop it, bounce it bounce it, wop it wop it<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Girl, move that thang like you gettin money for college, go!<br>
Shake shake it, drop it drop it, bounce it bounce it, wop it wop it<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Girl, move that thang like you gettin money for college, go!<br>Break it down like you working for your tuition at Howard<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Mama, get it how you live, that thang that you working is power<br>
Tryna be generous, so honey here's a tip<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,Now-a-days it's gettin cheaper to put 20's on the whip<br>
So if you a opportunist look for 20's in the clip<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"And if you find 'em attractive and funny, that's when you dip, dip<br>
And it's a trip, my city broke into sections<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Up North I got me a couple of troubles, couple connections<br>
And it's nothing that I created on purpose, there's people that gotta problem<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"But they scared to let it surface, uh<br>
Ya boy say this, that, and the third to 'em<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,See me out and they never utter a word to 'em<br>
Expect me not to draw a card from the deck<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Anybody in my city going hard I respect but,<br>
You gotta debt and you choose not to pay that<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Imma hop ya fence, come into your yard and collect, lect uh<br>
It ain't a problem of concern bruh, I always end up with exactly what I earn bruh<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"This ain't last year, money like a cashier, so hand your receipt if you tryna make a return bruh<br>
Yessir, I live in a city where a lot of people don't get shine, shine<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"And, I be on by the fence as soon as anybody stepping out of line, line<br>
And I got way too much love, for the city I can never get too much of<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"And if anybody hatin on me, I deport 'em, the city is mine boy<br>Yo, the city is mine (which one?)<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,T-O-R-O-N-T-O<br>
D-R-A-K-E that's me<,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"You know how the story goes<br>
Pull up, range rove, yo chick, wanna roll<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,And I play myself in the stereo<br>
And I make 'em wanna <,cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Shake shake it, drop it drop it, bounce it bounce it, wop it wop it<br>
Girl, move that thang like you gettin money for college, go!<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Shake shake it, drop it drop it, bounce it bounce it, wop it wop it<br>
Girl, move that thang like you gettin money for college, go!",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"<br>
Break it down, break it break it down<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Break it down, break it break it down<br>
Break it down, break it break it down<",cityismine,http://www.azlyrics.com/lyrics/drake/cityismine.html
Drake,"Break it down, break it break it down<br>
Break it downLady, You Say I Stay In The House Til Four",badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
Drake,We Dont Even Go Out No More<br>Its Always The Same Eh,badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
Drake,Always Complainin<br>Its Obvious Baby,badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
Drake,I Guess You Dont Watch The News<br>You See Theres A Lot To Lose,badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
Drake,Cuz We Got A Baby<br>And People Are Shady,badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
Drake,My Generation Is Changin<br>Aside From The Fact,badmeaningood,http://www.azlyrics.com/lyrics/drake/badmeaningood.html
